program 	 PalavraReservada 	 1
Test4 	 Identificador 	 1
; 	 Delimitador 	 1
var 	 PalavraReservada 	 2
A 	 Identificador 	 3
, 	 Delimitador 	 3
B 	 Identificador 	 3
, 	 Delimitador 	 3
R 	 Identificador 	 3
, 	 Delimitador 	 3
I 	 Identificador 	 3
: 	 Delimitador 	 3
integer 	 PalavraReservada 	 3
; 	 Delimitador 	 3
procedure 	 PalavraReservada 	 5
teste 	 Identificador 	 5
( 	 Delimitador 	 5
A 	 Identificador 	 5
: 	 Delimitador 	 5
integer 	 PalavraReservada 	 5
, 	 Delimitador 	 5
B 	 Identificador 	 5
: 	 Delimitador 	 5
real 	 PalavraReservada 	 5
) 	 Delimitador 	 5
; 	 Delimitador 	 5
var 	 PalavraReservada 	 6
S 	 Identificador 	 7
, 	 Delimitador 	 7
X 	 Identificador 	 7
: 	 Delimitador 	 7
real 	 PalavraReservada 	 7
; 	 Delimitador 	 7
begin 	 PalavraReservada 	 8
S 	 Identificador 	 9
:= 	 OperadorDeAtribuicao 	 9
A 	 Identificador 	 9
+ 	 OperadorAditivo 	 9
B 	 Identificador 	 9
* 	 OperadorMultiplicativo 	 9
X 	 Identificador 	 9
end 	 PalavraReservada 	 10
begin 	 PalavraReservada 	 12
while 	 PalavraReservada 	 13
( 	 Delimitador 	 13
I 	 Identificador 	 13
<= 	 OperadorRelacional 	 13
5 	 NumeroInteiro 	 13
) 	 Delimitador 	 13
do 	 PalavraReservada 	 13
begin 	 PalavraReservada 	 14
A 	 Identificador 	 15
:= 	 OperadorDeAtribuicao 	 15
A 	 Identificador 	 15
+ 	 OperadorAditivo 	 15
1 	 NumeroInteiro 	 15
; 	 Delimitador 	 15
B 	 Identificador 	 16
:= 	 OperadorDeAtribuicao 	 16
B 	 Identificador 	 16
- 	 OperadorAditivo 	 16
1 	 NumeroInteiro 	 16
; 	 Delimitador 	 16
R 	 Identificador 	 17
:= 	 OperadorDeAtribuicao 	 17
A 	 Identificador 	 17
+ 	 OperadorAditivo 	 17
B 	 Identificador 	 17
; 	 Delimitador 	 17
I 	 Identificador 	 18
:= 	 OperadorDeAtribuicao 	 18
I 	 Identificador 	 18
+ 	 OperadorAditivo 	 18
1 	 NumeroInteiro 	 18
end 	 PalavraReservada 	 19
end 	 PalavraReservada 	 20
. 	 Delimitador 	 20
